Gene ID	Gene Name	Reference	Strand	Start	End	Coverage	FPKM	TPM
gene2174	MIR1656	1	+	133654035	133654100	5.303030	1.459156	3.542541
gene2175	MIR1552	1	+	133682276	133682358	0.710843	0.314632	0.763864
gene2176	MIR6543	1	+	133686509	133686616	1.009259	0.408748	0.992359
gene2177	IL1R2	1	+	133824319	133835513	0.569303	0.144852	0.351671
gene2178	IL1R1	1	+	133879814	133902765	2.599457	1.974126	4.792787
gene2179	IL1RL2	1	+	133907085	133928632	0.315802	0.092485	0.224535
gene2180	IL1RL1	1	+	133946547	133969779	326.182678	187.559006	455.355988
gene2181	IL18R1	1	+	133974594	133995227	10.064976	3.313658	8.044903
gene2182	IL18RAP	1	+	133997900	134015826	0.148552	0.043780	0.106290
gene2183	SLC9A4	1	+	134016598	134049978	0.000000	0.000000	0.000000
gene2185	SLC9A2	1	+	134071034	134102538	0.000000	0.000000	0.000000
gene2186	MFSD9	1	-	134106173	134117348	27.384531	6.967631	16.916025
gene2187	TMEM182	1	+	134124644	134148901	0.000000	0.000000	0.000000
gene2189	LOC101750869	1	+	134362158	134365461	0.326467	0.083065	0.201666
gene2191	LOC101750952	1	+	134947938	134994492	0.031914	0.008120	0.019714
gene2192	LOC107051988	1	-	134968036	134988709	0.000000	0.000000	0.000000
gene2193	LOC101750998	1	-	135011260	135041259	0.115756	0.029453	0.071505
gene2194	LOC101751045	1	+	135030532	135039974	0.000000	0.000000	0.000000
gene2195	POU3F3	1	+	135051171	135054413	0.554733	0.141275	0.342988
gene2197	LOC107051973	1	-	135060547	135065170	0.597393	0.151999	0.369023
gene2198	MRPS9	1	+	135127388	135159319	79.906181	21.805275	52.938881
gene2199	TGFBRAP1	1	-	135180182	135213885	18.209114	4.633068	11.248168
gene2200	C1H2ORF49	1	+	135215422	135230110	33.415688	11.128015	27.016609
gene2201	FHL2	1	-	135229974	135269415	18.567051	5.355063	13.001030
gene2202	LOC101751432	1	+	135294691	135303674	0.110874	0.028210	0.068489
gene2204	NCK2	1	+	135367141	135448935	128.101471	32.593723	79.131081
gene2205	LOC107051985	1	-	135482268	135485248	0.000000	0.000000	0.000000
gene2206	C1H2ORF40	1	+	135506184	135509382	1.736331	0.458927	1.114182
gene2207	UXS1	1	-	135515559	135570726	57.759769	15.059052	36.560390
gene2209	LOC771085	1	+	135664141	135745322	0.000000	0.000000	0.000000
gene2210	ST6GAL2	1	-	135737783	135911966	2.775965	1.537633	3.733068
gene2212	SULT1C3	1	+	136254607	136263297	0.025992	0.006613	0.016056
gene2213	GCC2	1	+	136267302	136296091	25.749035	6.551501	15.905742
gene2214	LOC107051984	1	-	136341638	136349099	0.865876	0.220311	0.534871
gene2215	LIMS1	1	+	136349559	136395728	14.777267	7.224611	17.539921
gene2216	RANBP2	1	+	136368243	136438081	22.626150	26.057257	63.261848
gene2217	LOC107051983	1	+	136385508	136389770	1.988701	0.505999	1.228464
gene2219	EDAR	1	-	136463828	136536807	0.287015	0.075263	0.182723
gene2221	SH3RF3	1	+	136570447	136811855	7.747114	1.971151	4.785562
gene2222	MIR1700	1	+	136743823	136743922	1.000000	0.304688	0.739722
gene2223	SEPT10	1	-	136826703	136853539	55.022720	13.999802	33.988739
gene2224	SOWAHC	1	+	136853716	136858474	85.970375	21.874023	53.105785
gene2225	LOC107051989	1	+	136894382	136895304	2.193277	0.558050	1.354835
gene2226	CHAMP1	1	-	136898150	136908925	85.581688	21.835972	53.013401
gene2227	LOC107051981	1	+	136911787	136914392	0.117484	0.029892	0.072572
gene2228	UPF3A	1	-	136913860	136937220	2.021495	0.514343	1.248722
gene2229	CDC16	1	-	136939148	136959046	29.812733	9.703825	23.558962
gene2230	RASA3	1	+	137003372	137134236	57.496292	14.629169	35.516720
gene2231	LOC107051980	1	+	137003579	137005858	0.463636	0.117966	0.286398
gene2232	LOC101747921	1	-	137164266	137167877	0.000000	0.000000	0.000000
gene2233	GAS6	1	+	137167887	137205253	25.602667	6.514259	15.815328
gene2234	TMEM255B	1	-	137209458	137272659	0.000000	0.000000	0.000000
gene2235	ATP4B	1	+	137293765	137299478	0.000000	0.000000	0.000000
gene2236	TFDP1	1	-	137304340	137345709	34.620438	10.708887	25.999052
gene2237	TMCO3	1	-	137351255	137383219	67.937042	20.906939	50.757896
gene2238	DCUN1D2	1	+	137383447	137407218	5.584828	10.811281	26.247643
gene2239	ADPRHL1	1	+	137410833	137440941	0.000000	0.000000	0.000000
gene2240	GRTP1	1	+	137458499	137486615	69.628548	17.716063	43.011078
gene2241	LAMP1	1	-	137487510	137505740	1142.811646	290.773285	705.939758
gene2242	CUL4A	1	-	137509944	137545734	63.365868	16.128202	39.156078
gene2243	PCID2	1	+	137546386	137559287	124.942474	31.789957	77.179703
gene2244	PROZ	1	-	137560006	137567439	3.308418	0.841783	2.043682
gene2245	LOC771012	1	-	137570184	137577153	0.087717	0.022318	0.054185
gene2246	F10	1	-	137579811	137592401	4.606179	1.466949	3.561461
gene2247	F7	1	-	137593848	137603907	0.097784	0.026485	0.064301
gene2248	MCF2L	1	-	137606558	137754936	0.170710	0.059385	0.144175
gene2249	ATP11A	1	-	137764523	137886131	25.959538	8.076685	19.608589
gene2250	TUBGCP3	1	+	137919177	137969662	47.011532	11.964093	29.046440
gene2251	TRNAV-AAC	1	-	137994240	137994312	1.191781	0.303233	0.736189
gene2253	MYO16	1	+	138028208	138394995	0.783889	0.586835	1.424720
gene2254	LOC101749060	1	-	138609097	138653270	6.960505	7.274265	17.660471
gene2255	LOC101749095	1	+	138653534	138656673	0.269545	0.068582	0.166504
gene2256	COL4A1	1	-	138792101	138903918	0.174536	0.044470	0.107965
gene2257	COL4A2	1	+	138903996	139053714	0.068383	0.040713	0.098844
gene2258	RAB20	1	-	139058253	139082035	16.136812	4.105798	9.968062
gene2259	CARKD	1	+	139117091	139170044	51.583248	19.694506	47.814354
gene2260	CARS2	1	-	139170540	139209578	47.047455	13.655836	33.153660
gene2261	LOC107051979	1	+	139177583	139177896	2.591304	0.659323	1.600705
gene2262	MIR1736	1	-	139198640	139198738	0.000000	0.000000	0.000000
gene2263	LOC107051978	1	+	139203887	139208538	2.157626	0.548979	1.332813
gene2264	ING1	1	+	139209598	139214555	44.214985	19.915878	48.351795
gene2265	LOC107051977	1	+	139237076	139242058	0.224932	0.057231	0.138945
gene2266	ANKRD10	1	-	139241471	139275752	33.008377	8.493133	20.619640
gene2267	ARHGEF7	1	+	139308292	139416316	1.876716	3.875764	9.409586
gene2268	SOX1	1	+	139815684	139817990	0.128739	0.032756	0.079525
gene2270	LOC107051976	1	+	139953175	139957309	1.154130	0.293653	0.712931
gene2272	LOC107050346	1	-	139974056	139975102	0.000000	0.000000	0.000000
gene2273	LOC107050325	1	-	139986585	140005465	0.000000	0.000000	0.000000
gene2274	LOC107050336	1	+	140007190	140014532	0.205234	0.052219	0.126778
gene2275	LOC101751168	1	+	140045545	140047383	2.001516	0.509259	1.236380
gene2276	LOC107050357	1	+	140066532	140071812	0.000000	0.000000	0.000000
gene2277	LOC771176	1	+	140082568	140098127	0.757141	0.192644	0.467703
gene2278	LOC107050435	1	+	140114681	140130867	4.087112	1.039912	2.524698
gene2279	TNFSF13B	1	-	140144837	140163422	14.917554	3.937720	9.560001
gene2280	ABHD13	1	-	140166088	140175708	44.713425	11.379330	27.626753
gene2281	LIG4	1	+	140175901	140179861	12.182959	3.155310	7.660466
gene2282	FAM155A	1	+	140328268	140782962	0.153149	0.038967	0.094603
gene2284	ARGLU1	1	+	141031865	141042350	100.575584	45.695305	110.939125
gene2285	LOC107050459	1	-	141041791	141048495	1.849740	0.470642	1.142625
gene2286	EFNB2	1	+	141049589	141090557	14.285429	3.634738	8.824422
gene2287	LOC107050476	1	-	141441887	141445903	110.751709	28.179304	68.413757
gene2288	LOC107050488	1	+	141487250	141488224	14.403932	3.664889	8.897624
gene2289	LOC107050425	1	+	141671993	141674422	142.839737	36.343678	88.235237
gene2290	LOC107051457	1	-	142464263	142470290	0.000000	0.000000	0.000000
gene2291	LOC101748187	1	-	142477491	142484236	0.000000	0.000000	0.000000
gene2293	LOC107051510	1	-	142690418	142691902	0.592593	0.150777	0.366058
gene2294	METTL21EP	1	-	142733918	142754206	0.168445	0.042883	0.104110
gene2295	ERCC5	1	-	142756269	142772067	37.473507	10.035354	24.363846
gene2296	BIVM	1	-	142772653	142789699	46.678295	13.553958	32.906319
gene2297	KDELC1	1	+	142793230	142804106	120.260757	30.598755	74.287704
gene2298	TEX30	1	-	142805639	142811720	12.033934	3.061875	7.433625
gene2299	METTL21C	1	+	142840873	142848614	0.000000	0.000000	0.000000
gene2300	TPP2	1	-	142846554	142895478	54.646694	13.966943	33.908962
gene2301	FGF14	1	+	142970759	143360978	0.097942	0.432146	1.049165
gene2302	ITGBL1	1	-	143358724	143494428	0.000000	0.000000	0.000000
gene2303	NALCN	1	+	143502856	143717782	0.540514	0.137527	0.333887
gene2304	TMTC4	1	+	143892208	143949273	20.325443	6.905989	16.766371
gene2305	GGACT	1	+	143950576	143980474	1.244767	5.586472	13.562844
gene2306	PCCA	1	-	143981576	144252580	41.985027	10.683457	25.937315
gene2308	ZIC2	1	-	144280072	144285071	0.226551	0.057643	0.139946
gene2310	CLYBL	1	-	144313811	144445999	2.736857	0.696357	1.690616
gene2311	LOC107051262	1	+	144355572	144360044	0.000000	0.000000	0.000000
gene2312	TM9SF2	1	-	144483823	144511675	369.280487	93.958527	228.112640
gene2313	LOC107051247	1	+	144514398	144526627	0.739274	0.188098	0.456666
gene2314	LOC431250	1	+	144528685	144547598	2.600780	0.985400	2.392356
gene2315	UBAC2	1	-	144548504	144645714	64.783699	19.578762	47.533348
gene2316	GPR183	1	+	144585826	144598854	0.168548	0.042885	0.104116
gene2317	GPR18	1	+	144623610	144630646	0.205103	0.052186	0.126697
gene2318	DOCK9	1	+	144674937	144793537	5.878140	6.700095	16.266500
gene2319	LOC107051123	1	+	144794817	144796972	0.073159	0.018614	0.045192
gene2320	SLC15A1	1	+	144807725	144831758	13.682282	3.481275	8.451845
gene2321	STK24	1	+	144843455	144899499	26.874048	7.909967	19.203829
gene2322	FARP1	1	-	144902425	145109389	81.520126	23.204451	56.335804
gene2323	MIR1555	1	-	144936070	144936155	11.825582	5.617394	13.637918
gene2324	LOC107051115	1	+	145116177	145128342	0.443971	0.112963	0.274251
gene2325	IPO5	1	-	145123379	145161548	187.575226	47.726028	115.869331
gene2326	RAP2A	1	-	145284875	145317897	35.318253	8.986261	21.816858
gene2327	MBNL2	1	-	145335208	145441952	5.812433	1.743842	4.233702
gene2330	HS6ST3	1	-	145564562	145856976	4.102524	1.043833	2.534219
gene2331	UGGT2	1	+	145871889	145950703	10.098619	2.576046	6.254128
gene2332	TRNAF-GAA	1	-	145914457	145914529	0.000000	0.000000	0.000000
gene2333	DNAJC3	1	-	145953200	145985088	111.848030	29.032299	70.484650
gene2334	DZIP1	1	+	145994190	146031924	30.181683	7.892716	19.161947
gene2335	CLDN10	1	-	146034759	146094044	7.305048	2.132677	5.177716
gene2336	LOC107051055	1	+	146092796	146117608	0.000000	0.000000	0.000000
gene2337	ABCC4	1	+	146127039	146275424	78.850937	20.841101	50.598057
gene2338	LOC107051047	1	-	146256500	146263646	1.774515	0.451502	1.096157
gene2339	SOX21	1	+	146418582	146420739	3.304449	0.840773	2.041230
gene2342	GPR180	1	-	146435967	146462031	7.881283	2.005288	4.868441
gene2343	TGDS	1	+	146462052	146474812	34.962692	10.330860	25.081278
gene2345	DCT	1	+	146485483	146506241	0.557855	0.141939	0.344599
gene2346	GPC6	1	-	146513833	147264247	0.044307	0.011273	0.027369
gene2347	GPC5	1	-	147386374	148025614	0.071453	0.732379	1.778071
gene2348	LOC107050997	1	+	147935912	147958346	0.000000	0.000000	0.000000
gene2349	MIR92A1	1	-	148023263	148023340	0.000000	0.000000	0.000000
gene2350	MIR19B1	1	-	148023376	148023462	0.000000	0.000000	0.000000
gene2351	MIR20A	1	-	148023499	148023596	0.000000	0.000000	0.000000
gene2352	MIR19A	1	-	148023685	148023765	0.000000	0.000000	0.000000
gene2353	MIR18A	1	-	148023819	148023911	0.000000	0.000000	0.000000
gene2354	MIR17	1	-	148023974	148024058	0.000000	0.000000	0.000000
gene2356	LOC107051474	1	-	148554069	148554828	18.658104	4.747307	11.525519
gene2358	SLITRK5	1	-	149395768	149401706	1.989459	0.506191	1.228932
gene2359	LOC101748664	1	+	149677891	149731900	0.000000	0.000000	0.000000
gene2360	LOC100859304	1	-	149936787	149939202	0.290863	0.074006	0.179672
gene2362	LOC107050867	1	-	150161149	150164069	40.734489	10.364351	25.162584
gene2363	SLITRK6	1	+	150248674	150256343	2.905738	0.739327	1.794938
gene2366	LOC101749205	1	+	151620184	151632937	0.076225	0.019394	0.047086
gene2367	LOC101749244	1	+	151784801	151787310	0.079784	0.020300	0.049284
gene2368	LOC107051569	1	-	152299631	152301154	12.196745	3.103300	7.534196
gene2369	SPRY2	1	+	152670005	152675345	16.090197	11.421541	27.729235
gene2370	LOC107051566	1	-	152689864	152693183	0.600151	0.152700	0.370726
gene2372	NDFIP2	1	-	153022585	153069334	244.750549	69.173904	167.940491
gene2373	LOC107051901	1	+	153058825	153066324	0.256630	0.065296	0.158526
gene2374	LOC101750790	1	-	153098801	153111120	0.124469	0.031669	0.076887
gene2375	RBM26	1	+	153111225	153159639	77.648010	19.991533	48.535473
gene2376	LOC107051900	1	+	153165493	153175985	2.327588	0.592224	1.437802
gene2377	LOC107051887	1	-	153245023	153303847	0.000000	0.000000	0.000000
gene2378	RNF219	1	+	153499615	153526485	10.279436	4.543997	11.031922
gene2379	POU4F1	1	+	153534234	153538704	0.078288	0.019919	0.048360
gene2383	EDNRB	1	+	153918344	153932319	74.373940	18.923464	45.942410
gene2384	SLAIN1	1	-	153990258	154045462	4.001891	1.128499	2.739772
gene2385	SCEL	1	-	154061268	154136421	189.660782	48.552227	117.875168
gene2386	MYCBP2	1	+	154216731	154420994	90.446930	23.438938	56.905087
gene2387	FBXL3	1	+	154436552	154451227	29.162451	7.419999	18.014284
gene2388	CLN5	1	-	154459228	154467752	53.444443	13.598231	33.013805
gene2389	LOC418811	1	+	154473447	154478148	208.956909	53.166321	129.077271
gene2390	IRG1	1	-	154478538	154486191	0.446808	0.113684	0.276003
gene2391	LOC418813	1	+	154518643	154519361	0.000000	0.000000	0.000000
gene2392	KCTD12	1	+	154526320	154530625	45.831863	11.661310	28.311346
gene2393	LMO7	1	-	154867525	154996496	160.370499	55.307850	134.276489
gene2394	UCHL3	1	-	155003263	155043628	200.366684	62.879520	152.658981
gene2395	COMMD6	1	+	155062871	155073044	38.196365	10.309344	25.029041
gene2396	TBC1D4	1	+	155081350	155199540	59.994118	16.123289	39.144142
gene2397	LOC101748077	1	-	155580234	155581033	0.000000	0.000000	0.000000
gene2398	LOC107051914	1	+	155588613	155589908	0.000000	0.000000	0.000000
gene2399	LOC107051847	1	-	155598053	155609513	0.057285	0.014575	0.035386
gene2400	KLF12	1	+	155608765	155864950	0.452077	2.908201	7.060534
gene2401	LOC107051641	1	+	155650383	155652850	0.119530	0.030413	0.073836
gene2402	LOC107051838	1	+	155885373	155934488	0.000000	0.000000	0.000000
gene2403	LOC107051840	1	+	155900447	155903687	0.000000	0.000000	0.000000
gene2404	LOC107051839	1	-	155910440	155918283	0.104224	0.026518	0.064381
gene2405	KLF5	1	-	156076798	156094453	35.610840	9.060706	21.997595
gene2406	LOC107051835	1	-	156103737	156111437	0.112022	0.028503	0.069198
gene2407	PIBF1	1	-	156113904	156230674	10.993976	2.984667	7.246178
gene2408	DIS3	1	+	156229871	156250896	37.571095	11.401794	27.681292
gene2409	BORA	1	-	156259756	156279329	8.228992	2.416378	5.866485
gene2410	MZT1	1	+	156279469	156284216	19.777838	5.032209	12.217205
gene2412	DACH1	1	+	156675373	157044066	2.357484	1.231249	2.989227
gene2413	MIR1743	1	+	156695127	156695229	0.000000	0.000000	0.000000
gene2414	LOC107051827	1	-	157581888	157590190	0.000000	0.000000	0.000000
gene2415	KLHL1	1	+	157717622	157948054	0.157140	0.039982	0.097069
gene2416	PCDH9	1	+	159096586	159805221	1.810577	0.531436	1.290222
gene2422	PCDH20	1	+	161850352	161857035	0.248220	0.063156	0.153331
gene2423	LOC107051826	1	+	161895025	161896966	0.181411	0.046158	0.112062
gene2424	LOC101750251	1	+	161898558	161900496	0.235843	0.060007	0.145685
gene2425	LOC107051825	1	+	161902086	161904028	0.216161	0.054999	0.133527
gene2426	TDRD3	1	-	162193510	162295112	66.167564	16.905081	41.042179
gene2427	DIAPH3	1	+	162382456	162621744	6.361151	1.618511	3.929422
gene2430	LOC101747577	1	-	163336088	163351044	0.289875	0.073755	0.179062
gene2431	PCDH17	1	-	163442841	163529605	0.308460	0.085559	0.207720
gene2432	LOC107051640	1	+	163980536	163981752	14.986570	3.813134	9.257532
gene2433	LOC100859897	1	+	163983202	163983832	0.710777	0.180848	0.439063
gene2437	OLFM4	1	-	165561980	165586181	2.081040	0.529493	1.285504
gene2438	PCDH8	1	+	165685425	165689676	5.100749	1.591530	3.863918
gene2439	LECT1	1	+	165707217	165718952	0.108751	0.027670	0.067178
gene2440	SUGT1	1	-	165723566	165746132	250.241425	64.086571	155.589462
gene2441	ELF1	1	-	165748034	165834923	27.827353	44.903667	109.017189
gene2442	WBP4	1	+	165834980	165857613	41.574665	12.146961	29.490410
gene2443	MTRF1	1	-	165861592	165880121	33.787605	10.247988	24.880079
gene2444	NAA16	1	+	165879524	165943400	6.793488	7.109522	17.260509
gene2445	MIR2127	1	+	165879963	165880066	0.000000	0.000000	0.000000
gene2446	RGCC	1	+	165953661	165965762	15.117807	3.856201	9.362091
gene2447	VWA8	1	-	165990601	166168831	15.424739	3.924620	9.528199
gene2448	DGKH	1	+	166202107	166367928	1.584173	0.503913	1.223401
gene2449	AKAP11	1	+	166391634	166432115	22.062111	5.954981	14.457512
gene2450	TNFSF11	1	+	166505163	166527844	0.122025	0.240742	0.584474
gene2451	LOC418836	1	-	166583641	166591417	1.870088	0.475819	1.155194
gene2452	EPSTI1	1	-	166655188	166707869	212.815216	54.148010	131.460617
gene2453	DNAJC15	1	+	166719751	166744203	9.019226	25.740473	62.492756
gene2454	ENOX1	1	-	166777051	167143017	23.078871	6.895866	16.741795
gene2455	LOC107051784	1	+	166818592	166821290	0.000000	0.000000	0.000000
gene2456	MIR6555	1	-	167040277	167040376	1.000000	0.354303	0.860178
gene2457	CCDC122	1	-	167166994	167174554	3.423031	0.870945	2.114482
gene2458	LACC1	1	+	167167176	167186600	1.935220	1.376130	3.340971
gene2459	LOC101750152	1	-	167367325	167374885	0.141688	0.036051	0.087524
gene2460	TSC22D1	1	-	167406450	167485135	201.482773	120.596451	292.784241
gene2461	LOC101750204	1	+	167499150	167503266	0.334756	0.085174	0.206786
gene2462	LOC107051767	1	+	167509183	167515811	1.228620	0.312606	0.758945
gene2463	NUFIP1	1	-	167591958	167616501	51.005024	12.977551	31.506920
gene2464	GPALPP1	1	+	167616594	167631381	40.912151	10.409554	25.272331
gene2465	GTF2F2	1	+	167654452	167749535	50.066952	12.738873	30.927452
gene2466	KCTD4	1	-	167683340	167684679	0.498507	0.126839	0.307939
gene2467	TPT1	1	-	167751061	167754986	1741.257446	443.039886	1075.612915
gene2468	LOC100859822	1	+	167760820	167765040	0.847071	0.215526	0.523254
gene2469	SLC25A30	1	+	167767065	167776496	83.319565	21.210079	51.493866
gene2470	COG3	1	+	167776633	167808684	43.443039	11.065514	26.864872
gene2471	ERICH6B	1	-	167808209	167836790	0.314732	0.080079	0.194417
gene2472	SPERT	1	+	167849314	167853764	0.000000	0.000000	0.000000
gene2473	SIAH3	1	-	167882239	167919952	0.709155	0.180435	0.438061
gene2474	ZC3H13	1	-	167943201	167988887	121.951027	31.482115	76.432327
gene2475	CPB2	1	-	167990703	168006343	1.314410	0.334434	0.811940
gene2476	LCP1	1	-	168016248	168065537	25.578594	6.890044	16.727659
gene2477	LRRC63	1	+	168065716	168073021	0.243309	0.061907	0.150297
gene2479	KIAA0226L	1	-	168099308	168119739	32.831966	8.560916	20.784204
gene2480	LRCH1	1	+	168186213	168310384	4.121104	1.418995	3.445038
gene2481	ESD	1	-	168311300	168320805	190.899811	56.257713	136.582565
gene2482	HTR2A	1	-	168336247	168362922	7.290086	1.854866	4.503246
gene2483	SUCLA2	1	-	168640004	168660301	107.616531	27.381601	66.477089
gene2484	NUDT15	1	+	168670894	168673191	13.761948	4.821351	11.705281
gene2485	MED4	1	-	168675492	168684611	45.420338	11.556603	28.057137
gene2486	ITM2B	1	+	168710780	168736811	1308.970947	335.824341	815.314758
gene2487	RB1	1	+	168747594	168831479	89.061531	22.660526	55.015255
gene2488	LPAR6	1	-	168798617	168800049	73.140961	18.609749	45.180771
gene2489	RCBTB2	1	-	168833025	168862152	26.008326	7.315763	17.761221
gene2491	FNDC3A	1	+	168999957	169114149	14.451495	23.815954	57.820412
gene2492	MLNR	1	+	169114263	169118105	0.885027	0.225183	0.546701
gene2493	CDADC1	1	+	169129412	169145302	14.288442	3.635504	8.826283
gene2494	CAB39L	1	-	169146534	169208168	23.050556	6.840744	16.607969
gene2495	SETDB2	1	+	169208254	169227060	58.330883	14.844442	36.039356
gene2496	PHF11	1	+	169231539	169246335	103.665154	52.186813	126.699219
gene2497	RCBTB1	1	-	169247153	169267838	35.763256	10.723049	26.033434
gene2498	LOC107051716	1	+	169258840	169262106	7.285173	1.853616	4.500211
gene2499	ARL11	1	+	169271015	169279110	19.235508	4.894220	11.882195
gene2500	KPNA3	1	-	169278602	169331685	43.347000	34.559521	83.903656
gene2501	LOC107051704	1	-	169352059	169352884	0.222222	0.056541	0.137271
gene2502	SPRYD7	1	-	169356298	169365093	66.904457	17.022953	41.328346
gene2503	TRIM13	1	+	169368414	169377662	19.403128	6.184365	15.014410
gene2504	KCNRG	1	+	169378008	169381634	8.454176	2.151053	5.222330
gene2505	LOC107051702	1	-	169385615	169419802	1.485624	0.425315	1.032580
gene2506	MIR16-1	1	-	169399051	169399134	0.000000	0.000000	0.000000
gene2507	MIR15A	1	-	169399193	169399275	0.000000	0.000000	0.000000
gene2508	LOC770248	1	+	169419909	169461313	1.228473	4.074852	9.892931
gene2509	LOC107051703	1	+	169473230	169480644	0.142026	0.036137	0.087733
gene2510	LOC101747970	1	+	169481926	169487581	0.226958	0.057746	0.140197
gene2511	LOC101748122	1	+	169487636	169498506	0.603358	0.187799	0.455938
gene2512	LOC107051701	1	+	169501705	169508524	0.044942	0.011435	0.027762
gene2513	DLEU7	1	-	169825186	169833288	0.000000	0.000000	0.000000
gene2514	LOC107051700	1	-	169857443	169893989	0.115765	0.030429	0.073876
gene2515	RNASEH2B	1	+	169902409	169963726	21.238178	12.387834	30.075199
gene2516	LOC101748262	1	-	169956877	169968044	0.000000	0.000000	0.000000
gene2517	LOC107051699	1	-	169968043	169978533	0.000000	0.000000	0.000000
gene2518	LOC101748311	1	-	169986673	169994491	0.209418	0.053284	0.129362
gene2519	FAM124A	1	+	170018259	170057249	7.859947	1.999859	4.855261
gene2521	INTS6	1	-	170098977	170140762	55.224094	14.083388	34.191669
gene2522	LOC107051698	1	-	170142166	170159397	1.006743	0.256152	0.621887
gene2523	LOC101748649	1	+	170144593	170152969	0.367942	0.093618	0.227286
gene2524	WDFY2	1	+	170157889	170223894	14.268044	6.974305	16.932226
gene2525	DHRS12	1	-	170232378	170261057	4.309229	1.096426	2.661905
gene2526	ATP7B	1	-	170306088	170360121	10.886180	3.175360	7.709143
gene2527	LOC107051694	1	+	170306755	170307619	1.206642	0.307014	0.745369
gene2528	LOC107051691	1	+	170314344	170321323	0.427187	0.108692	0.263883
gene2529	ALG11	1	+	170363874	170367714	45.346558	11.537831	28.011562
gene2530	NEK5	1	-	170367920	170393742	0.483276	0.122963	0.298530
gene2531	NEK3	1	-	170393892	170406397	6.866241	1.759557	4.271856
gene2532	CKAP2	1	-	170406831	170416267	57.651875	14.668755	35.612823
gene2533	VPS36	1	+	170416460	170437158	59.171200	15.055329	36.551350
gene2534	THSD1	1	+	170445444	170475285	1.570543	0.748341	1.816823
gene2535	LOC428073	1	-	170475041	170484951	2.268444	0.577176	1.401268
gene2536	TPTE2	1	+	170490356	170509428	75.930161	61.815586	150.075974
gene2537	SLC25A15	1	-	170510878	170526757	13.119288	4.276574	10.382672
gene2538	MRPS31	1	+	170531238	170555120	114.404335	29.129448	70.720512
gene2539	FOXO1	1	+	170581723	170644999	16.872379	4.292953	10.422439
gene2540	LOC101750153	1	+	170742530	170772937	0.000000	0.000000	0.000000
gene2541	COG6	1	-	170888907	170940248	45.853176	11.666733	28.324511
gene2542	LHFP	1	+	170958590	171098124	5.295487	1.347366	3.271138
gene2543	LOC107052027	1	+	171220305	171223373	0.541209	0.137703	0.334317
gene2544	NHLRC3	1	-	171226140	171237210	34.194790	8.700411	21.122869
gene2545	PROSER1	1	+	171237409	171258173	30.180752	8.779316	21.314434
gene2546	LOC107052035	1	-	171253280	171268989	0.566203	0.176636	0.428836
gene2547	STOML3	1	+	171260944	171271490	0.578790	0.147265	0.357531
gene2548	LOC418892	1	-	171271166	171324018	0.283114	0.072035	0.174886
gene2549	FREM2	1	-	171329095	171449488	0.918460	0.233690	0.567353
gene2550	UFM1	1	-	171567414	171577770	153.093475	38.952606	94.569191
gene2551	LOC107052036	1	-	171730141	171737216	1.080972	0.275039	0.667740
gene2552	TRPC4	1	+	171798633	171936312	1.303748	0.331721	0.805354
gene2553	LOC101750792	1	+	171966248	171967929	0.000000	0.000000	0.000000
gene2554	LOC107052202	1	+	171967799	171968774	0.591771	0.150568	0.365550
gene2555	LOC107052207	1	+	171969447	171971365	0.091111	0.023182	0.056281
gene2556	POSTN	1	+	171990176	172023860	0.799878	0.232011	0.563276
gene2557	LOC107052041	1	+	172127804	172142580	5.230057	1.336852	3.245611
gene2558	SUPT20H	1	+	172272294	172309381	53.785465	18.626274	45.220901
gene2559	EXOSC8	1	-	172309299	172318455	97.403839	24.783115	60.168484
gene2560	ALG5	1	+	172318460	172337884	97.213730	24.734745	60.051048
gene2561	SMAD9	1	+	172362594	172405736	0.548276	0.812901	1.973563
gene2562	RFXAP	1	-	172406496	172413440	61.883377	15.745404	38.226715
gene2563	SERTM1	1	-	172457711	172472461	0.583604	0.168311	0.408626
gene2564	CCNA1	1	-	172568573	172574430	25.526598	6.557519	15.920355
gene2565	SPG20	1	+	172613391	172629647	15.547623	12.441731	30.206053
gene2566	CCDC169	1	+	172630332	172660945	1.323156	0.336659	0.817342
gene2567	DCLK1	1	+	172697183	172935235	4.102122	2.940648	7.139309
gene2568	NBEA	1	-	172991191	173479832	31.158340	7.952593	19.307316
gene2569	MAB21L1	1	+	173156458	173157771	14.668951	3.732320	9.061333
gene2570	RFC3	1	-	173883997	173899963	10.724895	4.716810	11.451478
gene2571	STARD13	1	+	173937260	174236246	5.684605	25.667286	62.315079
gene2572	LOC107052065	1	-	174026035	174029247	7.283654	1.853229	4.499272
gene2573	LOC107052068	1	-	174206925	174210013	0.711011	0.180907	0.439207
gene2574	KL	1	-	174244186	174291665	0.199136	0.050668	0.123011
gene2575	LOC107052071	1	-	174352034	174359900	0.000000	0.000000	0.000000
gene2576	PDS5B	1	-	174390355	174492314	42.944885	16.120050	39.136284
gene2577	LOC101747501	1	+	174487524	174496706	1.159701	0.297725	0.722817
gene2578	N4BP2L2	1	+	174502360	174547264	15.303279	6.206094	15.067164
gene2579	N4BP2L1	1	+	174547900	174560327	131.648438	33.496201	81.322121
gene2580	BRCA2	1	-	174560560	174597292	16.580561	4.262407	10.348277
gene2581	LOC107052079	1	+	174574350	174590702	0.444572	0.113115	0.274622
gene2582	ZAR1L	1	+	174598843	174601248	5.413030	1.377274	3.343747
